,Text,Reason,Sentiment,Emotion
313,"Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V reported on Thursday 30 October an operating profit of EUR7 .4 m for January-September 2008 , up from EUR6 .1 m in the corresponding period in 2007 .",up from,1.0,Confused
314,"Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn .",up from,1.0,Confused
315,"GeoSentric Oyj s GeoSolutions Business Unit GyPSii , the mobile digital lifestyle application and geo-mobility social networking platform , has went up an agreement with Nanjing MyNet to make the GyPSii mobile social networking platform available to customers of China Mobile .",went up,1.0,Confused
316,HELSINKI AFX - Outokumpu Technology said it has signed a 3.5 mln eur agreement with Mongolia 's Erdenet Mining Corporation for the engineering of the first HydroCopper plant to be built at the Erdenet mine site ., signed,1.0,Happy
317,"However , the proportion of the paid standing orders grew in 2009 .",grew,1.0,Happy
318,"In addition to the demand in Finland , the export of lining stone products also increased .",increased,1.0,Happy
319,"In January-September 2007 , the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 .",rose,1.0,Happy
320,"In July-September 2008 , YIT 's net sales increased to EUR 970.8 mn , compared to EUR 906.8 mn in the corresponding period in 2007 .", increased,1.0,Happy
321,"In the reporting period , net sales rose by 8 % year-on-year to EUR64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period .",rose,1.0,Happy
322,"In the reporting period , the company 's operating profit grew by 43.2 % to EUR 6 million .",grew,1.0,Happy
323,Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million .,rose,1.0,Confused
324,"Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004 .",raised,1.0,Happy
325,"ADP News - Nov 18 , 2008 - Finnish AC drives manufacturer Vacon Oyj OMX : VAC1V said today that it had set up new representative offices in Romania and Ukraine to serve the growing markets in eastern and southeastern Europe .",set up,1.0,Happy
326,Marimekko Group 's full-year net sales are estimated to increase by about 10 % .,increased,1.0,Confused
327,Net sales surged by 30 % to EUR 36 million .,surged,1.0,Happy
328,"Net sales went up by 1 % year-on-year to EUR 29 million , affected by the business acquisitions , realized during the previous financial period , the effect of which was EUR 5.1 million on the review period .",went up,1.0,Happy
329,"Nevertheless , its market share rose to 49.14 percent from 48.51 percent a year earlier .",rose,1.0,Confused
330,Nokia - the world 's largest mobile phone manufacturer - and China Postel - China 's largest mobile phone distributor - have a long-standing partnership that continues to grow stronger over time .,grow stronger,1.0,Happy
331,"October-December sales were 302 mln eur , or a 25.3 pct increase year on year .", increase,1.0,Confused
332,"Olvi , which controls a 94 percent stake in Ragutis through A. Le Coq , said in its annual report published earlier this year that the Lithuanian brewery 's sales reached 15.04 million euros last year , a rise of 20.4 percent from 12.49 million euros in 2004 .",rise,1.0,Confused
333,Olvi expects sales and market share to increase in the first quarter of 2010 ., increase,1.0,Confused
334,Operating profit increased to EUR 14.0 mn from EUR 4.9 mn in the corresponding period in 2005 .,increased,1.0,Happy
335,Operating profit of the Asian plants grew markedly .,grew,1.0,Confused
336,"Operating profit totaled EUR 825mn , up from EUR 763mn in 2004 .",up from,1.0,Confused
337,"Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year .",up from,1.0,Confused
338,Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board ., increase,1.0,Happy
339,Profit for the period increased from EUR 2.9 mn to EUR 10.5 mn ., increase,1.0,Happy
340,"Profit per share was EUR 1.03 , up from EUR 0.87 .",up from,1.0,Confused
341,Return on capital employed rose by 4.8 percentage points to 19.6 % .,rose,1.0,Confused
342,"Revenue from July to September grew 21 percent to EURO 2.3 billion , the Finnish company said Thursday .",grew,1.0,Happy
343,Revenue grew 1 percent to euro742 .2 million US$ 964 million from euro735 million .,grew,1.0,Happy
344,Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .,up,1.0,Confused
345,Ruukki signed the contract with Norwegian company Veidekke Entreprenor AS .,signed,1.0,Happy
346,Sales in Finland rose by 3.9 % and international growth was 0.7 % .,rose,1.0,Happy
347,Sales of security and system packaging increased slightly .,increased,1.0,Happy
348,Stora Enso 's third-quarter pre-tax profit doubled to EUR 197mn .,doubled,1.0,Confused
349,"Strongest growth was seen in the new markets in Russia , the Czech Republic , and Slovakia .",growth,1.0,Happy
350,"The company is now intensifying its smelter operations and increasing its annual production capacity to 230,000 tonnes of copper .",increasing,1.0,Confused
351,The company 's market share is continued to increase further .,increase,1.0,Happy
352,"The company 's scheduled traffic , measured in revenue passenger kilometres RPK , grew by just over 2 % and nearly 3 % more passengers were carried on scheduled flights than in February 2009 .",grew,1.0,Happy
353,"The company said that its investments in the new market areas resulted in sales increase in Sweden , Poland , Russia and Lithuania .",increase,1.0,Happy
354,"The disposal of Autotank will also strengthen Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .",strengthen,1.0,Confused
355,"The earnings per share for the quarter came in at 0.25 eur , up from the 0.20 eur of the same quarter a year earlier .",up from,1.0,Happy
356,The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 .,rose,1.0,Happy
357,The group 's 12-month operating profit grew 31 percent to 337.8 million euros .,grew,1.0,Happy
358,"The growth in the activeness of Talentum 's customers , which started at the end of 2009 , continued during the reporting period , the company stated .",growth,1.0,Unhappy
359,The growth of net sales in the first half of 2008 has been 28 % compared with the first half of 2007 .,growth,1.0,Confused
360,The pretax profit of the group 's life insurance business increased to EUR 36 million from EUR 27 million .,increased,1.0,Confused
361,The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m .,increased,1.0,Confused
362,"The total delivery volume of paper businesses in 2010 was 1,155,000 tonnes , up from 1,132,000 tonnes in 2009 .",up from,1.0,Confused
363,The value of the firm 's forestry holdings increased by SEK 3.6 bn .,increased,1.0,Happy
364,"This new deal has strengthened the partnership from Telemig Celular and Tecnomen , which it has started since the beginning of Telemig 's prepaid operations .",strengthened,1.0,Confused
365,Turnover rose to EUR21m from EUR17m .,rose,1.0,Confused
366,"Xerox and Stora Enso have teamed up to tailor the iGen3 to the short-run , on-demand packaging market .",teamed up,1.0,Confused
367,YIT Construction and the town of Riihim+Ãâ ki have signed a lease contract whereby the town will occupy the Travel Centre office facilities .,signed a lease,1.0,Confused
368,"The upgrade is intended to raise the network capacity from 450 MHz to 630 MHz in several cities , enabling bi-directional services for digital television as well as broadband data .",raise,1.0,Confused
369,"Lead production , in turn , should increase to 60,000 tonnes through 2009 in what would be a twofold increase from current capacity levels , Zahariev said .",increase,1.0,Confused
370,"Separately , YIT Corporation and Austrian firm E AG last week signed an agreement on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln .", signed,1.0,Happy
371,The company intends to raise production capacity in 2006 .,raised,1.0,Happy
372,"Thereby , the company will expand its offering to North , Central and South America .",expand,1.0,Happy
373,"To our members and partners , the use of IT will mostly be apparent in the increased efficiency of the results service , '' observes Perttu Puro from Tradeka .",increased,1.0,Unhappy
374,A tinyurl link takes users to a scamming site promising that users can earn thousands of dollars by becoming a Google ( NASDAQ : GOOG ) Cash advertiser .,scamming,-1.0,Confused
375,"Compared with the FTSE 100 index , which rose 36.7 points ( or 0.6 % ) on the day , this was a relative price change of -0.2 % .",-0.002,-1.0,Confused
376,"Compared with the FTSE 100 index , which rose 94.9 points ( or 1.6 % ) on the day , this was a relative price change of -0.4 % .",-0.004,-1.0,Confused
377,"Finland 's Nokian Tyres and Kazakhstan 's Ordabasy Corporation signed an agreement to build a plant in Astana to produce car tires , Ordabasy chairman Dinmukhamet Idrisov said at a press conference .",signed,1.0,Happy
378,Finnish business software group AffectoGenimap Oyj said it had signed an agreement to acquire all the shares in Swedish sector company Intellibis Ab for 12 mln euro ( $ 15.8 mln ) on a debt-free basis .,signed,1.0,Happy
379,"Finnish silicon wafers manufacturer Okmetic Oyj said on June 29 , 2007 it signed an agreement with Nordea Bank Finland Plc , the local subsidiary of Swedish commercial bank Nordea Bank AB , which will refinance Okmetic 's syndicated bank facility which amounts to some 20 mln euro ( $ 26.9 mln ) .",signed an agreement,1.0,Happy
380,"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",rose,1.0,Happy
381,"is planning to expand its product portfolio in the harbor segment , chief executive Pekka Lundmark told Financial Times Deutschland .",expand,1.0,Confused
382,"KAUKO-TELKO LTD PRESS RELEASE 19.06.2007 AT 14.00 1 ( 1 ) Telko Group ( Kauko-Telko ) is expanding its strategic partnership with BP Industrial Lubricants & Services ( BP ILS ) by acquiring total ownership of BP 's Swedish retail company , Molub-Alloy AB .", expanding,1.0,Confused
383,"Production capacity will rise gradually from 170,000 tonnes to 215,000 tonnes .",rise,1.0,Confused
384,Ramirent s Danish subsidiary Ramirent A-S has today signed an agreement to acquire the business assets of the machinery rental company Jydsk Materiel Udlejning located in West Jutland .,signed,1.0,Happy
385,"The agreement will provide The Switch with double the converter capacity , whilst opening up further manufacturing locations in China .",double,1.0,Happy
386,"The company also said on November 16 , 2006 its Real Estate Fund I Ky signed an agreement with Finnish window maker Fenestra Oy to build a window plant in Forssa , southern Finland .",signed an agreement,1.0,Happy
387,The company has committed to further expanding the Apollo portfolio .,expanding,1.0,Happy
388,The contracts have been signed to acquire uranium produced at the Sotkamo nickel-zinc mine in eastern Finland owned by Talvivaara .,contracts have been signed,1.0,Happy
389,"Under the terms of the off-take agreement with Talvivaara , Cameco will provide an up-front investment , to a maximum of $ 60 million , to cover the construction cost of the uranium extraction circuit .",up,1.0,Confused
390,"Vaisala Oyj Press Release September 30 , 2010 Vaisala has signed a contract to sell its oxygen measurement technology and business to SICK Maihak GmbH .", signed,1.0,Happy
391,"- BEIJING XFN-ASIA - Hong Kong-listed Standard Chartered Bank said it has signed a China mobile phone dealer financing agreement with Nokia , making it the first foreign bank to offer financing to the country 's small and medium enterprise -LR", signed,1.0,Happy
392,"After the transaction , Alma Media raised its stake in Talentum to 30.65 % of the shares and some 31.12 % of voting rights .", raised,1.0,Confused
393,"As the largest elevator market in the world , Chinese output of elevators continued to rise to 262,000 units in 2009 , up about 5 % yr-on-yr .",up,1.0,Happy
394,"Compared with the FTSE 100 index , which rose 28.3 points or 0.5 % on the day , this was a relative price change of 2.3 % .",rose,1.0,Confused
395,Componenta increased its stake in Turkish steel company Doktas Dokumculuk Ticaret ve Sanayi A.S. to 92.6 pct stake in March 2007 .,increase,1.0,Happy
396,"Earnings per share EPS are seen at EUR 0.56 , up from EUR 0.38 .",up from,1.0,Confused
397,Estonia 's beer market overall grew three percent last year to 130 million liters .,grew,1.0,Happy
398,Finnish lifting equipment maker Konecranes HEL : KCR1V said on 29 July 2009 it has raised its stake in Austrian manipulator maker ACS Konecranes to 80 % and bought German sector player Knight Europe .,raise,1.0,Happy
399,"HELSINKI AFX - KCI Konecranes said it has raised its stake in MMH Holdings Inc , the owner of US-based Morris Materials Handling , to 90.9 pct from 74.5 pct .",raised,1.0,Confused
400,"ADPnews - Jun 30 , 2009 - Finnish stainless steel maker Outokumpu Oyj HEL : OUT1V said yesterday it signed a three-year EUR 900 million USD 1.3 bn revolving credit facility .",signed,1.0,Confused
401,Most of the increase in net sales was due to the acquisition of Swedish Silva that produces garden tools and boats .,increased,1.0,Happy
402,One of the challenges in the oil production in the North Sea is scale formation that can plug pipelines and halt production .,halt,-1.0,Confused
403,SysOpen Digia had signed an agreement with the main shareholders of Sentera holding in total 77.39 % of the share capital and votes of Sentera .,signed,1.0,Happy
404,The company plans to expand into the international market through its subsidiaries and distributors from 2011 onwards .,expand,1.0,Happy
